epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.8134191176470589,0.4526669304160511,train,0.5810022438294689,0.1415223777297293,873,82,121,12
1,0.915129151291513,0.646592597459955,val,0.7238779803646563,0.2227457114171094,248,0,23,0
1,0.8888888888888888,0.6495932355339145,test,0.8105709876543211,0.4542849311529088,144,0,18,0
2,0.8777573529411765,0.326997474712484,train,0.7590442073770813,0.4665110493129585,955,0,133,0
2,0.915129151291513,0.5190607144383926,val,0.6833800841514727,0.2099473363877974,248,0,23,0
2,0.8888888888888888,0.5198229382067551,test,0.908179012345679,0.4334016689246678,144,0,18,0
3,0.8795955882352942,0.3141306533532984,train,0.7905365508010865,0.3963313483938191,955,0,131,2
3,0.915129151291513,0.4668074817675066,val,0.7095021037868162,0.2025059282306967,248,0,23,0
3,0.8888888888888888,0.4516602964312942,test,0.9155092592592592,0.4750042222173838,144,0,18,0
4,0.8814338235294118,0.2973332632990444,train,0.8232019840176358,0.4828815738206795,954,1,128,5
4,0.8708487084870848,0.4263593828326222,val,0.7698106591865358,0.2327658860543396,225,23,12,11
4,0.845679012345679,0.4084492086628337,test,0.9108796296296297,0.4486505167110506,124,20,5,13
5,0.890625,0.2618794353569255,train,0.8766996024091642,0.5357787987979422,948,7,112,21
5,0.915129151291513,0.2807151891318634,val,0.8611500701262272,0.3322649576912176,248,0,23,0
5,0.8888888888888888,0.2820718943336863,test,0.9324845679012346,0.4750986552073795,144,0,18,0
6,0.8988970588235294,0.2446465807802537,train,0.8951934810849113,0.5560727551934526,943,12,98,35
6,0.8929889298892989,0.2482293243777708,val,0.829242636746143,0.2998312798601509,239,9,20,3
6,0.9074074074074074,0.1849023791742913,test,0.9363425925925926,0.507423002894046,137,7,8,10
7,0.9016544117647058,0.2260510456912657,train,0.91279770105893,0.6264541239430116,931,24,83,50
7,0.918819188191882,0.2340105934432841,val,0.8807854137447405,0.3702228646871798,248,0,22,1
7,0.8703703703703703,0.2132556876282633,test,0.9359567901234568,0.5015683425740842,141,3,18,0
8,0.8998161764705882,0.2136793899185517,train,0.9225603275203716,0.6365337747859778,923,32,77,56
8,0.911439114391144,0.4832390569789658,val,0.7827840112201964,0.2631856764041193,245,3,21,2
8,0.8950617283950617,0.2426548815435833,test,0.9440586419753084,0.5332514576820774,140,4,13,5
