epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.8194444444444444,0.8393377446108071,train,0.5590277777777778,0.2269653498313913,230,10,42,6
1,0.8194444444444444,0.5423582105173005,val,0.6740547588005216,0.5340969739159784,59,0,13,0
1,0.8888888888888888,0.5145771663497996,test,0.408179012345679,0.1300078852291044,144,0,18,0
2,0.8263888888888888,0.4844294945572376,train,0.5994791666666667,0.2229790598997605,238,2,48,0
2,0.8194444444444444,0.6316587328910828,val,0.7809647979139505,0.4085461710076968,59,0,13,0
2,0.8888888888888888,0.6390919563946901,test,0.6450617283950617,0.1774373927238758,144,0,18,0
3,0.8402777777777778,0.4947293343647843,train,0.6335069444444444,0.3154188219359056,239,1,45,3
3,0.8194444444444444,0.4890778983632723,val,0.8096479791395046,0.6379525033371187,59,0,13,0
3,0.8888888888888888,0.5053129555818475,test,0.6712962962962963,0.2491767291320076,144,0,18,0
4,0.8229166666666666,0.4859162352428636,train,0.6256944444444444,0.2634951761476823,237,3,48,0
4,0.8194444444444444,0.4476156456189023,val,0.8904823989569752,0.7375278987043692,59,0,13,0
4,0.8888888888888888,0.4134521694095046,test,0.722608024691358,0.4233108837536268,144,0,18,0
5,0.8333333333333334,0.4382101609040142,train,0.6750868055555556,0.2435888946746712,240,0,48,0
5,0.8194444444444444,0.4194584789996345,val,0.8409387222946545,0.6372949764623439,59,0,13,0
5,0.8888888888888888,0.4470465782983803,test,0.6905864197530864,0.2419587530615252,144,0,18,0
6,0.8333333333333334,0.4308617910048471,train,0.7274305555555556,0.3917927459793126,240,0,48,0
6,0.8194444444444444,0.4117908523314529,val,0.833116036505867,0.6404428996306273,59,0,13,0
6,0.8888888888888888,0.4040590627693836,test,0.6396604938271604,0.2373890232378342,144,0,18,0
7,0.8333333333333334,0.4508258619909959,train,0.6868923611111111,0.3274948387359756,240,0,48,0
7,0.8194444444444444,1.3341065820080458,val,0.8396349413298566,0.5577275798682753,59,0,13,0
7,0.8888888888888888,0.8331763783310123,test,0.5852623456790123,0.1685081984403318,144,0,18,0
8,0.8298611111111112,0.5122338962037136,train,0.6960069444444444,0.3508840315582375,239,1,48,0
8,0.8194444444444444,0.4769901250385576,val,0.8657105606258149,0.7094981255634469,59,0,13,0
8,0.8888888888888888,0.4983338676852944,test,0.7083333333333335,0.324252428896665,144,0,18,0
9,0.8333333333333334,0.4905778877437343,train,0.6222222222222221,0.2573012225595949,240,0,48,0
9,0.8194444444444444,0.4854527786374092,val,0.8018252933507171,0.6173028942844234,59,0,13,0
9,0.8888888888888888,0.4865262370418619,test,0.6408179012345679,0.2357278868930527,144,0,18,0
10,0.8333333333333334,0.427044265317581,train,0.7123263888888889,0.3859691579236721,240,0,48,0
10,0.8194444444444444,0.4268388645723462,val,0.848761408083442,0.704119839568756,59,0,13,0
10,0.8888888888888888,0.4598823032445377,test,0.6458333333333333,0.2584251583486853,144,0,18,0
11,0.8333333333333334,0.3938369681644944,train,0.7758680555555555,0.4321034900491413,240,0,48,0
11,0.8194444444444444,0.6232830799667488,val,0.8135593220338984,0.5986805790972471,59,0,13,0
11,0.8888888888888888,0.4226848164988625,test,0.6257716049382716,0.1813890172720415,144,0,18,0
12,0.8298611111111112,0.5285108165324776,train,0.7115451388888889,0.3165971039505597,238,2,47,1
12,0.8194444444444444,0.3904639858374139,val,0.7926988265971316,0.4121432352583858,59,0,13,0
12,0.8888888888888888,0.3826503403841253,test,0.5991512345679012,0.1369760448264288,144,0,18,0
13,0.8229166666666666,0.5407522580904988,train,0.6594618055555556,0.2717660764901067,236,4,47,1
13,0.8194444444444444,0.4325849113132183,val,0.7027379400260756,0.3277124304215414,59,0,13,0
13,0.8888888888888888,0.4099451338780331,test,0.5509259259259259,0.1186388295396024,144,0,18,0
14,0.8333333333333334,0.4618316852080065,train,0.7293402777777778,0.3547685096248731,240,0,48,0
14,0.8194444444444444,0.4415816555738274,val,0.7561929595827901,0.5703150707434673,59,0,13,0
14,0.8888888888888888,0.3873284530565775,test,0.5632716049382716,0.1355370770822528,144,0,18,0
15,0.8263888888888888,0.490675611658945,train,0.6516493055555556,0.276506115089474,238,2,48,0
15,0.8194444444444444,0.7664463541318077,val,0.7001303780964797,0.3478642710555323,59,0,13,0
15,0.8888888888888888,0.5027615033077606,test,0.4841820987654321,0.1055267289440708,144,0,18,0
16,0.8333333333333334,0.490358347542876,train,0.6688368055555555,0.3130852685093908,240,0,48,0
16,0.8194444444444444,0.3696356726609843,val,0.8709256844850066,0.4755978686974162,59,0,13,0
16,0.8888888888888888,0.4010207243838612,test,0.6207561728395061,0.150206045627158,144,0,18,0
17,0.8333333333333334,0.3917308406731131,train,0.7697048611111111,0.3548614511565434,239,1,47,1
17,0.8194444444444444,0.3605393992448726,val,0.8487614080834419,0.6940339874268633,59,0,13,0
17,0.8888888888888888,0.3815187193172334,test,0.6307870370370371,0.1549732490182272,144,0,18,0
18,0.8298611111111112,0.43680527888588,train,0.7256076388888889,0.4147317444313645,239,1,48,0
