epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.7123161764705882,0.5585352708311642,train,0.5460536157146794,0.1279692465910574,746,209,104,29
1,0.915129151291513,0.3404069249260469,val,0.4887798036465638,0.0923694424807249,248,0,23,0
1,0.8888888888888888,0.3417195048597123,test,0.8695987654320987,0.4441803494765583,144,0,18,0
2,0.8777573529411765,0.3568816421663059,train,0.6576467346376411,0.222680984634451,955,0,133,0
2,0.915129151291513,0.2981254518361989,val,0.5168302945301543,0.1030618530322068,248,0,23,0
2,0.8888888888888888,0.2928186469239953,test,0.898148148148148,0.4875565753572639,144,0,18,0
3,0.8777573529411765,0.3500526012743221,train,0.6810612919733889,0.2626267201148375,955,0,133,0
3,0.915129151291513,0.295171154821051,val,0.5546984572230015,0.1234412603357028,248,0,23,0
3,0.8888888888888888,0.2807394063767092,test,0.9077932098765432,0.502161058036211,144,0,18,0
4,0.8777573529411765,0.3395140105310608,train,0.7111600992008817,0.3149054925920153,955,0,133,0
4,0.915129151291513,0.2928659014156384,val,0.5750350631136045,0.1326280297102037,248,0,23,0
4,0.8888888888888888,0.2711469572451379,test,0.9170524691358024,0.5260868289707367,144,0,18,0
5,0.8786764705882353,0.3208570730160264,train,0.7641302208400582,0.3975751529624149,955,0,132,1
5,0.915129151291513,0.2920168669571296,val,0.5960729312762973,0.1425579174399889,248,0,23,0
5,0.8888888888888888,0.2646359293549149,test,0.9201388888888888,0.524603906942664,144,0,18,0
6,0.8786764705882353,0.320950044428601,train,0.7664449080817226,0.3732504418949123,955,0,132,1
6,0.915129151291513,0.2887911546934135,val,0.6093969144460029,0.149788015377855,248,0,23,0
6,0.8888888888888888,0.2562774140157817,test,0.9236111111111112,0.5177046394151656,144,0,18,0
7,0.8795955882352942,0.3042297595564057,train,0.8037160965240326,0.4471275433834383,955,0,131,2
7,0.915129151291513,0.2877138878916462,val,0.6193899018232819,0.1580772982879827,248,0,23,0
7,0.8888888888888888,0.2478898147374023,test,0.9290123456790124,0.537837200365882,144,0,18,0
8,0.8814338235294118,0.3008354286498883,train,0.8108806046529937,0.4956482989302995,955,0,129,4
8,0.915129151291513,0.2852119995879071,val,0.6346423562412343,0.1677967429301647,248,0,23,0
8,0.8888888888888888,0.2429227965113557,test,0.9309413580246914,0.5386183352244217,144,0,18,0
9,0.8814338235294118,0.2938155490247642,train,0.8286737786875565,0.4667954456612525,955,0,129,4
9,0.915129151291513,0.2834313296303978,val,0.645687237026648,0.1699653504165558,248,0,23,0
9,0.8888888888888888,0.2391903512639764,test,0.9305555555555556,0.5278180172861681,144,0,18,0
10,0.8832720588235294,0.2981880692874684,train,0.8174310120851868,0.4552512450708557,951,4,123,10
10,0.915129151291513,0.2823218448685544,val,0.6549789621318373,0.1775123890666707,248,0,23,0
10,0.8888888888888888,0.2350824718122129,test,0.9367283950617284,0.549363130419632,144,0,18,0
11,0.8860294117647058,0.2807415846516104,train,0.8536865724520726,0.5133696865786471,953,2,122,11
11,0.915129151291513,0.2812583752223926,val,0.658835904628331,0.1799174858538117,248,0,23,0
11,0.8765432098765432,0.2294506308289221,test,0.9344135802469136,0.53655574320048,142,2,18,0
12,0.8887867647058824,0.2735137558158706,train,0.8633389757115302,0.5631060502115225,954,1,120,13
12,0.915129151291513,0.2785422223520455,val,0.6765427769985974,0.1883966090449486,248,0,23,0
12,0.8765432098765432,0.2272191787207568,test,0.933641975308642,0.5361310107111498,142,2,18,0
13,0.8878676470588235,0.2784480312291313,train,0.8534739991339605,0.5469519816264529,953,2,120,13
13,0.915129151291513,0.2764624126283005,val,0.6800490883590462,0.1904432892720109,248,0,23,0
13,0.8765432098765432,0.2235657120192492,test,0.9382716049382716,0.5419523558569763,142,2,18,0
14,0.8897058823529411,0.2595746788908453,train,0.8902098177380625,0.5892672718400008,953,2,118,15
14,0.915129151291513,0.2748235036306276,val,0.6891654978962132,0.1932121349186988,248,0,23,0
14,0.8765432098765432,0.2208202435278598,test,0.9382716049382716,0.539054638887197,142,2,18,0
15,0.8943014705882353,0.2569679920287693,train,0.888021099870094,0.6195664890183724,953,2,113,20
15,0.915129151291513,0.2725811746947439,val,0.6993338008415148,0.1987376652308088,248,0,23,0
15,0.8765432098765432,0.2192345710448277,test,0.9378858024691358,0.5316351595977996,142,2,18,0
16,0.8970588235294118,0.2491196946186178,train,0.8983584615990237,0.644204317369115,953,2,110,23
16,0.911439114391144,0.2707893757142703,val,0.7100280504908835,0.2062310559102577,247,1,23,0
16,0.8827160493827161,0.214774197358408,test,0.9382716049382716,0.5365954093835625,141,3,16,2
17,0.8943014705882353,0.2444229371407452,train,0.9022792583553124,0.6284678071086771,950,5,110,23
17,0.904059040590406,0.2682737164281831,val,0.7205469845722301,0.2169203671305781,245,3,23,0
17,0.8888888888888888,0.2120562935317004,test,0.9382716049382716,0.5336809594280785,141,3,15,3
18,0.8998161764705882,0.2519094212090267,train,0.8865724520725898,0.627080932430249,949,6,103,30
18,0.9077490774907748,0.266899809516224,val,0.7273842917251052,0.2183098562356351,246,2,23,0
18,0.8827160493827161,0.2122769922385981,test,0.937885802469136,0.5300031847357823,140,4,15,3
19,0.8970588235294118,0.230672181748292,train,0.9272684328622604,0.6741035276622889,947,8,104,29
19,0.9077490774907748,0.2646294746176783,val,0.7349228611500701,0.2258163123452419,246,2,23,0
19,0.8827160493827161,0.2129085525686358,test,0.9371141975308642,0.5233891953354676,140,4,15,3
20,0.9034926470588236,0.2223988210453706,train,0.9332126126835412,0.7018691232466604,948,7,98,35
20,0.904059040590406,0.2660934315836297,val,0.739656381486676,0.2293391418732654,244,4,22,1
20,0.8888888888888888,0.20895964656899,test,0.9375,0.5256696755764741,140,4,14,4
21,0.9090073529411764,0.2095980948823339,train,0.9460221233712554,0.7477450209424017,948,7,92,41
21,0.9077490774907748,0.2656332671477346,val,0.7485974754558204,0.2413650387042802,245,3,22,1
21,0.8888888888888888,0.2099087116894898,test,0.9367283950617284,0.5183836770249434,140,4,14,4
22,0.9044117647058824,0.2177584401386625,train,0.930504271149077,0.7208535928591703,949,6,98,35
22,0.904059040590406,0.2588964325420531,val,0.762798036465638,0.2472121260351991,243,5,21,2
22,0.9012345679012346,0.2060374256085466,test,0.9375,0.5279297188880584,140,4,12,6
23,0.9117647058823528,0.1971231354948352,train,0.9596740542455616,0.7879658355029231,950,5,91,42
23,0.904059040590406,0.2586664863178211,val,0.7636746143057503,0.2464920831503086,243,5,21,2
23,0.8950617283950617,0.2083502360332159,test,0.9347993827160496,0.5088324082466301,139,5,12,6
24,0.9209558823529412,0.1958135890171808,train,0.9554855725701688,0.823404936426782,954,1,85,48
24,0.9003690036900369,0.2578313050867227,val,0.7736676016830294,0.2542886614239528,243,5,22,1
24,0.8950617283950617,0.2055446735502761,test,0.9359567901234568,0.5088741987654651,139,5,12,6
25,0.9163602941176472,0.1892794193152119,train,0.961398260048026,0.8054251544892658,948,7,84,49
25,0.904059040590406,0.2556770225485092,val,0.7784011220196353,0.2602796233161424,243,5,21,2
25,0.9012345679012346,0.206998563291114,test,0.9359567901234568,0.510667063332617,139,5,11,7
26,0.9329044117647058,0.1776690798647263,train,0.9702003700350352,0.8334140983628674,950,5,68,65
26,0.904059040590406,0.2547288721227997,val,0.7854137447405329,0.2662989108734447,243,5,21,2
26,0.8950617283950617,0.2051250419498961,test,0.935570987654321,0.5094106573181325,139,5,12,6
27,0.9246323529411764,0.1784127654836458,train,0.9679959059953548,0.8401388981096828,952,3,79,54
27,0.9077490774907748,0.2631605311513387,val,0.780680224403927,0.2578100020188181,245,3,22,1
27,0.8950617283950617,0.2078673919593846,test,0.937114197530864,0.5296801010956548,140,4,13,5
28,0.9310661764705882,0.1729096417479655,train,0.9729480769987796,0.8666362713495883,950,5,70,63
28,0.9077490774907748,0.2587736346844817,val,0.7889200561009818,0.2597100890187613,245,3,22,1
28,0.8950617283950617,0.2045905866924627,test,0.9359567901234568,0.5102477001389665,139,5,12,6
29,0.9384191176470588,0.1563865119481788,train,0.9849702791008936,0.90493192067227,949,6,61,72
29,0.9003690036900369,0.2644295318540172,val,0.782608695652174,0.257005227549169,243,5,22,1
29,0.9012345679012346,0.2046097441587919,test,0.9347993827160492,0.5060482841372249,139,5,11,7
30,0.9411764705882352,0.147113747018225,train,0.987033027595166,0.9188999109908236,953,2,62,71
30,0.9077490774907748,0.2594334983517763,val,0.7934782608695652,0.2646325033784869,243,5,20,3
30,0.8950617283950617,0.2016012694364712,test,0.9351851851851852,0.5148982890402491,138,6,11,7
31,0.9476102941176472,0.1477002694326288,train,0.9829941345510372,0.9078193766032115,948,7,50,83
31,0.904059040590406,0.2627020631109216,val,0.7969845722300141,0.2717015518493597,244,4,22,1
31,0.8950617283950617,0.2062135121934575,test,0.933641975308642,0.5069150008740342,139,5,12,6
32,0.9485294117647058,0.1385410769897348,train,0.9890485375743024,0.9305477361995071,951,4,52,81
32,0.911439114391144,0.261773421095746,val,0.801367461430575,0.2759467435731707,244,4,20,3
32,0.9012345679012346,0.2030811223810837,test,0.935570987654321,0.5086175857215913,139,5,11,7
33,0.9623161764705882,0.1299286251339842,train,0.9909853166948784,0.9459092747218782,950,5,36,97
33,0.9077490774907748,0.2578590654139149,val,0.7994389901823281,0.2732697697175608,243,5,20,3
33,0.9012345679012346,0.2020155910322051,test,0.9375,0.5247874531388907,139,5,11,7
34,0.9485294117647058,0.1282625912743456,train,0.9913710979018228,0.9499201307152508,951,4,52,81
34,0.904059040590406,0.2691192631351992,val,0.8004908835904628,0.2740382114196653,244,4,22,1
34,0.8950617283950617,0.2069245705633987,test,0.9371141975308642,0.5187725995295217,139,5,12,6
35,0.9678308823529412,0.1190765885745777,train,0.993622800456639,0.9634928598981498,952,3,32,101
35,0.911439114391144,0.2638926121141637,val,0.8046984572230015,0.2779136635547403,244,4,20,3
35,0.8888888888888888,0.2003136669504053,test,0.9363425925925926,0.5190555531843781,137,7,11,7
36,0.9659926470588236,0.113340711878503,train,0.9941739164665592,0.9637806336810132,951,4,33,100
36,0.9077490774907748,0.2635393558393105,val,0.8053997194950913,0.2744529095081932,243,5,20,3
36,0.8888888888888888,0.201777783791638,test,0.9347993827160496,0.5118990141867797,137,7,11,7
37,0.9641544117647058,0.1074496301658013,train,0.9972050545211196,0.9794920966983144,952,3,36,97
37,0.904059040590406,0.2652685648840732,val,0.8103085553997196,0.2774086214262115,242,6,20,3
37,0.9074074074074074,0.1985127681659327,test,0.9367283950617284,0.5224410898037782,137,7,8,10
38,0.9761029411764706,0.1029221222681157,train,0.9977561705310396,0.9857994841991,953,2,24,109
38,0.911439114391144,0.2781689645399466,val,0.8078541374474053,0.277593550926173,245,3,21,2
