epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.8229166666666666,0.4555444133099324,train,0.6305555555555556,0.2405552594716264,235,5,46,2
1,0.8194444444444444,0.4373642386247714,val,0.8878748370273795,0.6819593804887922,59,0,13,0
1,0.8888888888888888,0.4036070214193544,test,0.8958333333333333,0.4543168044134149,144,0,18,0
2,0.8368055555555556,0.3886118782651869,train,0.7558159722222222,0.4079105771065969,237,3,44,4
2,0.8194444444444444,0.4103722121152613,val,0.9061277705345502,0.6791537673732708,59,0,13,0
2,0.8888888888888888,0.3654859790831436,test,0.9259259259259258,0.492979560660659,144,0,18,0
3,0.8541666666666666,0.3385163520514551,train,0.8423611111111111,0.5898763761838215,237,3,39,9
3,0.8194444444444444,0.3911515923423899,val,0.9348109517601044,0.7236492695471024,59,0,13,0
3,0.8765432098765432,0.352867735342847,test,0.913966049382716,0.4521562446940166,142,2,18,0
4,0.8784722222222222,0.3072459215860969,train,0.8766493055555555,0.6388135221674641,235,5,30,18
4,0.8194444444444444,0.3661943508519066,val,0.9204693611473274,0.6998892482174626,59,0,13,0
4,0.8827160493827161,0.3116639327763775,test,0.9035493827160492,0.4066213945594085,143,1,18,0
5,0.8958333333333334,0.2505256149224806,train,0.934809027777778,0.7890026665281213,238,2,28,20
5,0.8472222222222222,0.3493755509455998,val,0.9178617992177316,0.6948633917210179,59,0,11,2
5,0.8641975308641975,0.3087002701459475,test,0.90625,0.4155836749015015,133,11,11,7
6,0.9444444444444444,0.2110557478484528,train,0.9352430555555556,0.8600951707584529,236,4,12,36
6,0.8472222222222222,0.3286951782388819,val,0.9361147327249022,0.7405149337841646,58,1,10,3
6,0.8703703703703703,0.3023383516220398,test,0.9128086419753086,0.4341625659717512,132,12,9,9
7,0.9375,0.187219229665061,train,0.965017361111111,0.8819339714288109,236,4,14,34
7,0.8472222222222222,0.3338961493637826,val,0.9322033898305084,0.7188030596854127,59,0,11,2
7,0.8765432098765432,0.2565151872573259,test,0.9085648148148148,0.4236780514386351,138,6,14,4
8,0.9444444444444444,0.1634322214077757,train,0.9751736111111112,0.918572295427557,237,3,13,35
8,0.8333333333333334,0.3383580481943984,val,0.9217731421121252,0.725690787342371,59,0,12,1
8,0.8765432098765432,0.2493749559040606,test,0.9112654320987654,0.4231558092039036,138,6,14,4
9,0.9583333333333334,0.1336024492502474,train,0.9866319444444444,0.9487928355349508,238,2,10,38
9,0.8472222222222222,0.321584871556196,val,0.9178617992177314,0.7066628827762431,59,0,11,2
9,0.8827160493827161,0.2563722814306801,test,0.913966049382716,0.4282984484965243,136,8,11,7
10,0.9583333333333334,0.1185841550206987,train,0.9890625,0.961918046124833,238,2,10,38
10,0.875,0.3108188345924847,val,0.9191655801825294,0.6880689041572996,57,2,7,6
10,0.8580246913580247,0.2944812676581888,test,0.908179012345679,0.4319586009427621,127,17,6,12
11,0.9791666666666666,0.0899963335775232,train,0.9979166666666668,0.990065151944173,239,1,5,43
11,0.8611111111111112,0.3258563944190327,val,0.9113428943937418,0.700194943944944,59,0,10,3
11,0.8703703703703703,0.2318067451088148,test,0.9155092592592592,0.4616741750515739,136,8,13,5
12,0.9826388888888888,0.0650378621603017,train,0.9981770833333332,0.9904888288634496,238,2,3,45
12,0.8611111111111112,0.3121902323198608,val,0.910039113428944,0.7054783009632506,58,1,9,4
12,0.8580246913580247,0.2378701148267237,test,0.9104938271604938,0.4786266472141366,132,12,11,7
13,0.9895833333333334,0.0536848837149995,train,0.9995659722222222,0.9978364779268168,239,1,2,46
13,0.8472222222222222,0.2997913298766232,val,0.9269882659713168,0.6936979686979687,57,2,9,4
13,0.8765432098765432,0.240882172976494,test,0.9162808641975309,0.453041788445761,132,12,8,10
14,1.0,0.0315461026085901,train,1.0,1.0,240,0,0,48
14,0.8472222222222222,0.3088690996325264,val,0.9282920469361148,0.7061831757985604,57,2,9,4
14,0.8703703703703703,0.236932006625769,test,0.9189814814814814,0.4673936579918736,132,12,9,9
15,1.0,0.0154122029706576,train,1.0,1.0,240,0,0,48
15,0.8472222222222222,0.3644042314521761,val,0.9256844850065188,0.7170059811364158,59,0,11,2
15,0.8950617283950617,0.2242798845910317,test,0.9243827160493828,0.488157765745309,139,5,12,6
16,1.0,0.0141106918612858,train,1.0,1.0,240,0,0,48
16,0.875,0.2938512700558122,val,0.9282920469361148,0.7054268195572544,57,2,7,6
16,0.8518518518518519,0.2646314492406048,test,0.9128086419753086,0.4442251121151352,128,16,8,10
17,1.0,0.0114186101539025,train,1.0,1.0,240,0,0,48
17,0.875,0.2997455843465609,val,0.9191655801825294,0.7085409790259287,57,2,7,6
17,0.8518518518518519,0.2644661926573867,test,0.9166666666666669,0.4846531534630162,128,16,8,10
18,1.0,0.0097800568166961,train,1.0,1.0,240,0,0,48
18,0.8472222222222222,0.286004634690471,val,0.9113428943937418,0.6723306518043359,55,4,7,6
18,0.8395061728395061,0.2998440143965575,test,0.9097222222222222,0.4992625926809679,125,19,7,11
19,1.0,0.0075802023132196,train,1.0,1.0,240,0,0,48
19,0.8333333333333334,0.3124681308723261,val,0.9204693611473272,0.7092185592185591,57,2,10,3
19,0.8580246913580247,0.2462345188394487,test,0.9158950617283952,0.4889447307411095,129,15,8,10
20,1.0,0.0059258814912782,train,1.0,1.0,240,0,0,48
20,0.8611111111111112,0.3270288162651316,val,0.9204693611473272,0.7158074768368885,58,1,9,4
20,0.8765432098765432,0.2471699894651667,test,0.9155092592592592,0.4924054587699787,132,12,8,10
21,0.9895833333333334,0.0310177643075443,train,0.9994791666666666,0.9976005634171908,239,1,2,46
21,0.8611111111111112,0.3001453899066998,val,0.910039113428944,0.6201554192933504,55,4,6,7
21,0.8518518518518519,0.2942960437755157,test,0.9066358024691358,0.5012348251890981,126,18,6,12
22,0.9652777777777778,0.0846481227708524,train,0.9919270833333332,0.9690248865405916,235,5,5,43
22,0.875,0.2905857132961197,val,0.9295958279009128,0.6316468787622633,57,2,7,6
22,0.8641975308641975,0.2627919035285343,test,0.902006172839506,0.4800327996223414,130,14,8,10
23,0.9861111111111112,0.0397952749857428,train,0.9994791666666666,0.9975470957613816,238,2,2,46
23,0.8333333333333334,0.4703649949967964,val,0.9295958279009128,0.7409393564370939,59,0,12,1
23,0.8950617283950617,0.2385392605516065,test,0.9290123456790124,0.5153178247295894,140,4,13,5
24,0.9791666666666666,0.0534256810146437,train,0.9972222222222222,0.9898607164254024,238,2,4,44
