epoch,acc,loss,dset,auc,auprc,fold
1,0.78125,0.5089392755697999,train,0.5459824097002818,0.1946842448556645,1
1,0.8333333333333334,0.4554247727824582,val,0.8777777777777778,0.753950179937022,1
1,0.8888888888888888,0.445614277580638,test,0.7820216049382717,0.3120303058429861,1
2,0.8298611111111112,0.434422993954892,train,0.6598924088463838,0.3051595191783419,1
2,0.8333333333333334,0.4634728663497501,val,0.9236111111111112,0.7970689033189033,1
2,0.8888888888888888,0.4592708595740942,test,0.8622685185185185,0.4822580953346521,1
3,0.8333333333333334,0.362467930962642,train,0.8370762530953805,0.5281702121745251,1
3,0.8333333333333334,0.4768423433932993,val,0.9416666666666668,0.813721268984427,1
3,0.8888888888888888,0.4801844200234354,test,0.9074074074074074,0.4276114120435573,1
4,0.8333333333333334,0.3780104750249948,train,0.7686790197250448,0.5181127728222488,1
4,0.8333333333333334,0.4469974434210194,val,0.9388888888888888,0.877744708994709,1
4,0.8888888888888888,0.4459612807373941,test,0.9035493827160492,0.424140448978948,1
5,0.8611111111111112,0.3470290840034269,train,0.8430535394073948,0.5858687332940353,1
5,0.8333333333333334,0.4102810523990128,val,0.9458333333333332,0.8659159159159161,1
5,0.8888888888888888,0.4022131313880284,test,0.910493827160494,0.4741061338873648,1
6,0.8645833333333334,0.3144110206695687,train,0.8842114251558365,0.6848679955025379,1
6,0.8472222222222222,0.4207000740700298,val,0.95,0.862166394335512,1
6,0.8765432098765432,0.4362102331202707,test,0.892361111111111,0.4091939328691695,1
7,0.875,0.2899948202668586,train,0.9120485014089318,0.6929451831450686,1
7,0.8472222222222222,0.354813322217928,val,0.9541666666666668,0.8431903704533016,1
7,0.8888888888888888,0.3434313052782305,test,0.9147376543209876,0.5250800402994625,1
8,0.8784722222222222,0.2607855101167742,train,0.928784903082572,0.7910683653648872,1
8,0.875,0.3492349916034274,val,0.9513888888888888,0.8527975944306591,1
8,0.8888888888888888,0.3731369498519249,test,0.9027777777777778,0.4703268167239098,1
9,0.8819444444444444,0.2762474147473565,train,0.906241994705832,0.7184848846743661,1
9,0.9305555555555556,0.3891152044137319,val,0.9458333333333334,0.8518170426065164,1
9,0.8518518518518519,0.4326777241112273,test,0.8908179012345679,0.385686117163671,1
10,0.9270833333333334,0.2274096054542395,train,0.937409273332764,0.8411920856957031,1
10,0.8611111111111112,0.3261020667850971,val,0.9458333333333332,0.8444768194768196,1
10,0.8580246913580247,0.3329492049452699,test,0.902391975308642,0.41138196505194,1
11,0.9166666666666666,0.2205406152352225,train,0.9584151652292716,0.8537668912365279,1
11,0.9027777777777778,0.3233454223308298,val,0.9472222222222222,0.851388888888889,1
11,0.8641975308641975,0.3490189933850441,test,0.898533950617284,0.4331319379296557,1
12,0.9201388888888888,0.2057799578502049,train,0.9518401502860558,0.8426140873993749,1
12,0.8611111111111112,0.2850983883771631,val,0.9444444444444444,0.8264865036923862,1
12,0.8950617283950617,0.275767203696348,test,0.917824074074074,0.500922653569069,1
13,0.9305555555555556,0.1993475794248903,train,0.9582443856203569,0.8406164120933711,1
13,0.875,0.2897516010950009,val,0.9527777777777776,0.8430901206636501,1
13,0.8888888888888888,0.2992831530210412,test,0.910493827160494,0.4467179539426918,1
14,0.9375,0.1762328715477552,train,0.9653317393903168,0.907648194426132,1
14,0.8611111111111112,0.2879961331685384,val,0.9388888888888888,0.7815422226238166,1
14,0.8765432098765432,0.3099003110402896,test,0.9008487654320988,0.4086008247664338,1
15,0.9305555555555556,0.1693073137543655,train,0.9733583810093076,0.9082241815990484,1
15,0.875,0.2867143582552671,val,0.9458333333333332,0.8066762661402131,1
15,0.8888888888888888,0.282893484113393,test,0.912037037037037,0.470842709263818,1
16,0.9444444444444444,0.1539410138761417,train,0.9809580736060112,0.9279551114204976,1
16,0.8888888888888888,0.2665323070767853,val,0.9458333333333332,0.8219802188552189,1
16,0.8765432098765432,0.2875466525646639,test,0.9155092592592592,0.4828589983812764,1
17,0.9305555555555556,0.1581798643682203,train,0.978140210058919,0.919539894597591,1
17,0.875,0.2703615060696999,val,0.9458333333333332,0.7997469198407333,1
17,0.8765432098765432,0.2880837629882641,test,0.9112654320987654,0.4935250874196224,1
18,0.9479166666666666,0.1402820941875688,train,0.9812996328238408,0.936126537728847,1
18,0.8611111111111112,0.2670756450129879,val,0.9541666666666666,0.8190819557198868,1
18,0.8703703703703703,0.2935584113001823,test,0.9131944444444444,0.4818324079938569,1
19,0.9479166666666666,0.1260332040352902,train,0.9886431560071728,0.956328060489822,1
19,0.875,0.2563682685916622,val,0.9416666666666668,0.7992003367003366,1
19,0.8827160493827161,0.2687489706333036,test,0.912037037037037,0.4619318419845638,1
20,0.9722222222222222,0.0888484819313614,train,0.9976944752796516,0.9897546708960844,1
20,0.8888888888888888,0.2540290621109307,val,0.9486111111111112,0.8066602651161475,1
20,0.8827160493827161,0.2628506864938471,test,0.9120370370370372,0.4815396563683897,1
21,0.9826388888888888,0.0746162134859736,train,0.9976944752796516,0.990361975934432,1
21,0.9027777777777778,0.2564314105030563,val,0.9541666666666666,0.8144182016240841,1
21,0.8518518518518519,0.3192666589201968,test,0.9050925925925926,0.4951205703665938,1
22,0.9791666666666666,0.0799546900379937,train,0.997523695670737,0.9901874351435488,1
22,0.875,0.2615991977767812,val,0.9486111111111112,0.7896520106649418,1
22,0.8765432098765432,0.2801771283977561,test,0.9085648148148148,0.5008926092104048,1
23,0.9756944444444444,0.0771743655431136,train,0.9979506446930236,0.9887167843792356,1
23,0.875,0.253275446438541,val,0.9416666666666668,0.7815040283790284,1
23,0.8827160493827161,0.2421311992737982,test,0.913966049382716,0.5109417188046078,1
24,0.9756944444444444,0.0865965231852088,train,0.9941934932969004,0.9726777451722975,1
24,0.8472222222222222,0.2439336084967686,val,0.9513888888888888,0.7825196793946794,1
24,0.8827160493827161,0.2575290910899639,test,0.9162808641975309,0.5090332466709633,1
25,0.9861111111111112,0.0607422884608644,train,0.9994022713687986,0.9971969557053592,1
25,0.875,0.2606039377343323,val,0.9472222222222224,0.7835451857510681,1
25,0.8888888888888888,0.2298069109933244,test,0.9201388888888888,0.5120304151117925,1
26,0.9895833333333334,0.0520126654317007,train,1.0,1.0,1
26,0.8611111111111112,0.241764890599168,val,0.95,0.7882380351130353,1
26,0.8765432098765432,0.2538371314927016,test,0.9112654320987654,0.4965580700846775,1
27,0.9930555555555556,0.0438018731947522,train,0.998975322346512,0.9944631974482844,1
27,0.8611111111111112,0.2446555099450051,val,0.9486111111111112,0.7869152837902839,1
27,0.8703703703703703,0.2586932549092137,test,0.913966049382716,0.5170866648108013,1
