epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
0,0.7881944444444444,0.5054612465311139,train,0.6377604166666666,0.3046882164925931,214,26,35,13
0,0.7777777777777778,0.4548212313869347,val,0.6857887874837028,0.298707259236795,56,3,13,0
1,0.8541666666666666,0.3885835686535049,train,0.7796006944444444,0.487648484540365,225,15,27,21
1,0.8055555555555556,0.4747706351659467,val,0.7105606258148631,0.3414810434977032,56,3,11,2
2,0.9131944444444444,0.284853853288698,train,0.8784722222222222,0.7031367713596721,233,7,18,30
2,0.7916666666666666,0.5717978145464966,val,0.7105606258148631,0.3864957516046521,51,8,7,6
3,0.9097222222222222,0.2225526072885076,train,0.9322048611111112,0.8166264975988562,230,10,16,32
3,0.8333333333333334,0.4569228802186747,val,0.7235984354628423,0.4254689209994249,57,2,10,3
4,0.9548611111111112,0.0989740500684759,train,0.987326388888889,0.9583624512209954,236,4,9,39
4,0.8055555555555556,0.6410655868421347,val,0.728813559322034,0.3602833229964126,57,2,12,1
5,0.9513888888888888,0.1510512012392126,train,0.9672743055555556,0.9052148219723574,237,3,11,37
5,0.8194444444444444,0.5759450157869045,val,0.7418513689700131,0.3746145260929338,55,4,9,4
6,1.0,0.02395467556894,train,1.0,1.0,240,0,0,48
6,0.8194444444444444,0.8836651337885603,val,0.7757496740547588,0.4185135209792665,56,3,10,3
7,1.0,0.0016124970055177,train,1.0,1.0000000000000002,240,0,0,48
7,0.8472222222222222,0.825620136600352,val,0.7757496740547588,0.4222330809287331,57,2,9,4
8,1.0,0.0002399944820952,train,1.0,1.0,240,0,0,48
8,0.8611111111111112,0.8966449230752284,val,0.7887874837027379,0.4539721251930554,57,2,8,5
9,1.0,0.0001818591252126,train,1.0,1.0,240,0,0,48
9,0.8472222222222222,0.9330250046873836,val,0.788787483702738,0.4419318573164726,57,2,9,4
10,1.0,0.0001504423179654,train,1.0,1.0,240,0,0,48
10,0.8333333333333334,0.9099233864522568,val,0.7940026075619296,0.4422586072729088,56,3,9,4
11,1.0,0.0001301881653429,train,1.0,1.0,240,0,0,48
11,0.8611111111111112,0.9190635046659316,val,0.7835723598435462,0.456480015782018,57,2,8,5
12,1.0,0.0001151337181044,train,1.0,1.0,240,0,0,48
12,0.8472222222222222,0.9217303663232058,val,0.7861799217731421,0.437661968771414,57,2,9,4
13,1.0,0.0001043139191418,train,1.0,1.0,240,0,0,48
13,0.8472222222222222,0.974110007883621,val,0.7848761408083442,0.4510371472327994,57,2,9,4
14,1.0,9.608017294040728e-05,train,1.0,1.0,240,0,0,48
14,0.8472222222222222,0.9441601705029276,val,0.78748370273794,0.4383335194429647,57,2,9,4
15,1.0,8.946895500767166e-05,train,1.0,1.0,240,0,0,48
15,0.8472222222222222,0.963675489345666,val,0.7848761408083442,0.4436321716884369,57,2,9,4
16,1.0,8.39803466854663e-05,train,1.0,1.0,240,0,0,48
16,0.8472222222222222,0.9723466544589268,val,0.7809647979139505,0.432760915119819,57,2,9,4
17,1.0,7.922641005952968e-05,train,1.0,1.0,240,0,0,48
17,0.8472222222222222,0.9138737575098532,val,0.7835723598435462,0.4333440211424296,57,2,9,4
18,1.0,7.537053711641977e-05,train,1.0,1.0,240,0,0,48
18,0.8194444444444444,0.9978826282400478,val,0.7640156453715776,0.406611604865115,56,3,10,3
19,1.0,7.20181974247009e-05,train,1.0,1.0,240,0,0,48
19,0.7916666666666666,0.9320156245183776,val,0.7548891786179922,0.3726507922750299,55,4,11,2
20,1.0,6.907332555698235e-05,train,1.0,1.0,240,0,0,48
20,0.8472222222222222,0.9814260373332984,val,0.7874837027379401,0.4437877130040278,57,2,9,4
21,1.0,6.673461449217359e-05,train,1.0,1.0,240,0,0,48
21,0.8472222222222222,0.9237080725513688,val,0.7861799217731422,0.4374369854032761,57,2,9,4
22,1.0,6.446745389957857e-05,train,1.0,1.0,240,0,0,48
22,0.8472222222222222,0.966631843551231,val,0.788787483702738,0.4441520536201387,57,2,9,4
23,1.0,6.271217254050221e-05,train,1.0,1.0,240,0,0,48
23,0.8333333333333334,0.9625814384216484,val,0.7861799217731421,0.435656769731799,56,3,9,4
24,1.0,6.091297817851288e-05,train,1.0,1.0,240,0,0,48
24,0.8472222222222222,0.930697136498876,val,0.7848761408083442,0.4309366751529899,57,2,9,4
25,1.0,5.949983762717122e-05,train,1.0,1.0,240,0,0,48
25,0.8055555555555556,0.9432492813419712,val,0.7848761408083442,0.4166873247568111,56,3,11,2
26,1.0,5.787522047209473e-05,train,1.0,1.0,240,0,0,48
26,0.8055555555555556,0.9836775822995868,val,0.7783572359843547,0.4164812260359244,56,3,11,2
27,1.0,5.685518258495096e-05,train,1.0,1.0,240,0,0,48
27,0.8055555555555556,1.0186158779600616,val,0.7783572359843547,0.4041802774288503,56,3,11,2
28,1.0,5.5749075868805065e-05,train,1.0,1.0,240,0,0,48
28,0.8194444444444444,0.944335676978675,val,0.7770534550195567,0.4198215735998541,56,3,10,3
29,1.0,5.463839343613744e-05,train,1.0,1.0,240,0,0,48
29,0.8333333333333334,0.9498265655197488,val,0.7796610169491526,0.4116522899164119,56,3,9,4
30,1.0,5.390014855380068e-05,train,1.0,1.0,240,0,0,48
30,0.8055555555555556,0.8797967584382681,val,0.7940026075619296,0.4263973360822962,55,4,10,3
31,1.0,5.305266998112401e-05,train,1.0,1.0,240,0,0,48
31,0.8194444444444444,0.9482943979970512,val,0.7835723598435463,0.4163087209617438,56,3,10,3
32,1.0,5.232723037051912e-05,train,1.0,1.0,240,0,0,48
32,0.8472222222222222,0.9585955760179756,val,0.7822685788787485,0.4292132848359704,57,2,9,4
33,1.0,5.162290581865273e-05,train,1.0,1.0,240,0,0,48
33,0.8472222222222222,0.9542824518231628,val,0.7887874837027379,0.4375726227374579,57,2,9,4
34,1.0,5.104647076646806e-05,train,1.0,1.0,240,0,0,48
34,0.8333333333333334,0.9828747451224148,val,0.7809647979139505,0.4343618415889538,56,3,9,4
35,1.0,5.049484259594333e-05,train,1.0,1.0,240,0,0,48
35,0.8055555555555556,0.9085700901993764,val,0.7783572359843547,0.4065762473359611,56,3,11,2
36,1.0,5.0076471440347386e-05,train,1.0,1.0,240,0,0,48
