epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.8333333333333334,0.5047670830933966,train,0.6375868055555556,0.2646704611799726,234,6,42,6
1,0.8194444444444444,0.4656036647243632,val,0.8279009126466754,0.6041684532487208,59,0,13,0
1,0.8888888888888888,0.4543717919308462,test,0.8414351851851851,0.3900736285664585,144,0,18,0
2,0.8194444444444444,0.4317814167338333,train,0.7164062500000001,0.3112364900712561,230,10,42,6
2,0.8611111111111112,0.3940493972558114,val,0.8826597131681877,0.6840176027676028,55,4,6,7
2,0.8333333333333334,0.4287593592372205,test,0.8549382716049383,0.3855450189119394,125,19,8,10
3,0.8368055555555556,0.3883517987312391,train,0.7818576388888889,0.4409051726924523,229,11,36,12
3,0.8611111111111112,0.4075244978691141,val,0.8344198174706648,0.6480282083696975,59,0,10,3
3,0.8888888888888888,0.4018046954347763,test,0.9112654320987654,0.4979032720870797,136,8,10,8
4,0.8645833333333334,0.3378226167210035,train,0.8405381944444444,0.597763591976558,231,9,30,18
4,0.8333333333333334,0.3434802084229886,val,0.8865710560625816,0.6776851579792755,59,0,12,1
4,0.8580246913580247,0.297131818914671,test,0.8927469135802469,0.4408736652231146,137,7,16,2
5,0.8680555555555556,0.3658585638897733,train,0.8127604166666668,0.5201234318705883,233,7,31,17
5,0.8472222222222222,0.3410228988957695,val,0.8631029986962191,0.6062648926026535,59,0,11,2
5,0.8703703703703703,0.3024115568820249,test,0.8395061728395061,0.3877951704703724,138,6,15,3
6,0.8506944444444444,0.3567635286535544,train,0.8361111111111111,0.4893207698703481,229,11,32,16
6,0.8472222222222222,0.346494538968222,val,0.8670143415906129,0.6288141345833653,57,2,9,4
6,0.8641975308641975,0.329886937962362,test,0.9012345679012346,0.4586138703302015,129,15,7,11
7,0.8611111111111112,0.3102794158931172,train,0.8735243055555555,0.5777192449489823,229,11,29,19
7,0.8472222222222222,0.3201084089103258,val,0.9152542372881356,0.6645403676962649,57,2,9,4
7,0.8703703703703703,0.3094673214687241,test,0.910108024691358,0.5022287516405164,130,14,7,11
8,0.8923611111111112,0.2921830965581525,train,0.8898437499999999,0.7228873646993873,232,8,23,25
8,0.8611111111111112,0.3413620529592865,val,0.8865710560625816,0.7198070789297109,57,2,8,5
8,0.8888888888888888,0.3670073050637672,test,0.787037037037037,0.37363843898196,135,9,9,9
9,0.875,0.3210930072380146,train,0.8735243055555555,0.5697650171579025,229,11,25,23
9,0.875,0.3954224870540201,val,0.8109517601043025,0.6300795358487665,57,2,7,6
9,0.8395061728395061,0.4329207807917286,test,0.7496141975308641,0.3072590755522115,131,13,13,5
10,0.875,0.2850547136999669,train,0.8978298611111111,0.5942407009708088,230,10,26,22
10,0.8333333333333334,0.3584233238103075,val,0.8617992177314211,0.5912222818668376,56,3,9,4
10,0.8703703703703703,0.3880594433687719,test,0.7827932098765432,0.3671234011466727,131,13,8,10
11,0.8923611111111112,0.2295742001954579,train,0.9388020833333334,0.7156248900813915,230,10,21,27
11,0.8611111111111112,0.3382240001746039,val,0.8904823989569752,0.6469152799186736,59,0,10,3
11,0.8765432098765432,0.2680353326572071,test,0.8653549382716049,0.4572753029990414,135,9,11,7
12,0.8958333333333334,0.2828707501066038,train,0.902517361111111,0.6478283987433975,231,9,21,27
12,0.875,0.3098943280403748,val,0.8813559322033898,0.6614021348184245,56,3,6,7
12,0.8703703703703703,0.3120732598846065,test,0.8553240740740741,0.3952415813742257,131,13,8,10
13,0.8888888888888888,0.2463744810002257,train,0.9286458333333334,0.6840102821682981,227,13,19,29
13,0.8472222222222222,0.3050583603778957,val,0.9178617992177316,0.6598625547622203,57,2,9,4
13,0.8518518518518519,0.3221965853834846,test,0.8464506172839505,0.4059716139759999,128,16,8,10
14,0.8784722222222222,0.2599280931593558,train,0.9152777777777776,0.739582982480449,226,14,21,27
14,0.8611111111111112,0.3646524107559041,val,0.8722294654498045,0.6746038973771766,58,1,9,4
14,0.8641975308641975,0.3045865414257414,test,0.8020833333333333,0.403241326829559,135,9,13,5
15,0.90625,0.2498781810473237,train,0.9342013888888888,0.6807225385244196,226,14,13,35
15,0.8194444444444444,0.4170923703059088,val,0.8839634941329857,0.6536679858930499,59,0,13,0
15,0.8950617283950617,0.2769239734650595,test,0.8198302469135802,0.4931843114951111,144,0,17,1
16,0.9027777777777778,0.201341892316777,train,0.9555555555555556,0.7550551619203171,229,11,17,31
16,0.8333333333333334,0.3516206516053191,val,0.8617992177314211,0.5762225030639554,56,3,9,4
16,0.8333333333333334,0.3199376719533092,test,0.8132716049382716,0.3786635695610903,125,19,8,10
17,0.9236111111111112,0.1614053617061604,train,0.9713541666666666,0.8440933292628072,232,8,14,34
17,0.8472222222222222,0.3984899935015467,val,0.834419817470665,0.6160568653274223,58,1,10,3
