epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.6985294117647058,0.5619869644151014,train,0.5435106089831909,0.1318849867231419,723,232,96,37
1,0.915129151291513,0.6159880249262736,val,0.5105189340813464,0.1702109398017105,248,0,23,0
1,0.8888888888888888,0.6207833687464396,test,0.8009259259259259,0.3429830539565636,144,0,18,0
2,0.8777573529411765,0.3588946321431328,train,0.680825099397709,0.2764853271198431,955,0,133,0
2,0.915129151291513,0.4072268420479834,val,0.5722300140252454,0.1440590976275657,248,0,23,0
2,0.8888888888888888,0.4166830700856668,test,0.9012345679012346,0.5414955745819635,144,0,18,0
3,0.8777573529411765,0.3465681154938305,train,0.7130102743770421,0.3289985515564644,955,0,133,0
3,0.915129151291513,0.3374501299044303,val,0.5962482468443198,0.1486385763766176,248,0,23,0
3,0.8888888888888888,0.317370797380989,test,0.9209104938271604,0.5320243773679355,144,0,18,0
4,0.8786764705882353,0.3226949844290228,train,0.7642404440420422,0.3869405154558346,955,0,132,1
4,0.915129151291513,0.300867942206534,val,0.6292075736325387,0.162638098266531,248,0,23,0
4,0.8888888888888888,0.2629342579547269,test,0.923611111111111,0.5209250300610532,144,0,18,0
5,0.8777573529411765,0.3111060717526604,train,0.7971735621776954,0.4492485089119539,955,0,133,0
5,0.915129151291513,0.2839597028669836,val,0.651297335203366,0.175627657388241,248,0,23,0
5,0.8888888888888888,0.2379698606184971,test,0.9282407407407408,0.548900016344201,144,0,18,0
6,0.8777573529411765,0.297885083100375,train,0.8165098610400346,0.4648161702518776,955,0,133,0
6,0.915129151291513,0.2817757474980231,val,0.6656732117812061,0.1762148942984356,248,0,23,0
6,0.8888888888888888,0.2370352285143769,test,0.9266975308641976,0.5379389537477772,144,0,18,0
7,0.8814338235294118,0.2916135384755976,train,0.8254221942290281,0.5156356096121053,955,0,129,4
7,0.915129151291513,0.2807849777030768,val,0.6788218793828892,0.184310832420951,248,0,23,0
7,0.8888888888888888,0.2286296567799132,test,0.9270833333333331,0.5263742265205253,144,0,18,0
8,0.8860294117647058,0.2846329317373388,train,0.8418769436680706,0.5334417460141536,955,0,124,9
8,0.915129151291513,0.2802710994473242,val,0.6960028050490883,0.1909236138203384,248,0,23,0
8,0.8827160493827161,0.2329339004225201,test,0.9282407407407408,0.5264456679973921,143,1,18,0
9,0.8869485294117647,0.2712886929512024,train,0.8658426170137385,0.5861436408497871,955,0,123,10
9,0.915129151291513,0.2730587754962189,val,0.7095021037868163,0.2064990338641798,248,0,23,0
9,0.8765432098765432,0.2301406231191423,test,0.925925925925926,0.5118294723042975,142,2,18,0
10,0.8878676470588235,0.2615995407104492,train,0.876046136283116,0.6156772999504695,955,0,122,11
10,0.915129151291513,0.266071480908517,val,0.7312412342215988,0.221561252699326,248,0,23,0
10,0.8765432098765432,0.2216181372418815,test,0.9282407407407408,0.5133905895897733,142,2,18,0
11,0.8915441176470589,0.2500369811759275,train,0.9014447112545764,0.6734801318458892,955,0,118,15
11,0.911439114391144,0.2628526786596573,val,0.7435133239831697,0.226613704944699,247,1,23,0
11,0.8888888888888888,0.2164061444777029,test,0.9282407407407408,0.5053764034733987,142,2,16,2
12,0.8915441176470589,0.2404577469124513,train,0.9093650356257136,0.6359360017893964,950,5,113,20
12,0.911439114391144,0.2596740852422819,val,0.7573632538569425,0.2379921087135527,246,2,22,1
12,0.8950617283950617,0.216166787677341,test,0.9290123456790124,0.5158130352013558,141,3,14,4
13,0.8933823529411765,0.230023864437552,train,0.9230642050151556,0.6820207491168732,953,2,114,19
13,0.911439114391144,0.2520242066181014,val,0.7831346423562412,0.2559237764089873,246,2,22,1
13,0.8888888888888888,0.2150013547988585,test,0.929398148148148,0.508701119063438,140,4,14,4
14,0.8998161764705882,0.2157808366943808,train,0.9418257686100068,0.7372391887316905,954,1,108,25
14,0.904059040590406,0.2509028646008995,val,0.7855890603085555,0.2595194738688476,244,4,22,1
14,0.8950617283950617,0.2121069760602197,test,0.9290123456790124,0.5110117043450377,140,4,13,5
15,0.8998161764705882,0.2064726168618482,train,0.950903436601976,0.7349480210686711,951,4,105,28
15,0.9077490774907748,0.2535809574861808,val,0.7936535764375877,0.2641537556551895,245,3,22,1
15,0.8950617283950617,0.2075920971455397,test,0.9309413580246914,0.5164369476221782,140,4,13,5
16,0.9145220588235294,0.1939933168537476,train,0.950242097390072,0.7572142016181287,946,9,84,49
16,0.9003690036900369,0.2478728788145353,val,0.801367461430575,0.2698599203174802,242,6,21,2
16,0.9012345679012346,0.2068885971366623,test,0.9332561728395062,0.5276484857973506,138,6,10,8
17,0.9117647058823528,0.1864252993289162,train,0.9662323347636106,0.8008223302294579,950,5,91,42
17,0.9003690036900369,0.2497432801281394,val,0.8106591865357644,0.2734131039030606,243,5,22,1
17,0.8950617283950617,0.2070397619663933,test,0.9324845679012344,0.5140163356725459,139,5,12,6
18,0.9255514705882352,0.1681774109601974,train,0.975396606699996,0.8472422768623379,950,5,76,57
18,0.8966789667896679,0.2494666436721478,val,0.8043478260869565,0.266555361672245,241,7,21,2
18,0.9012345679012346,0.2046167811861744,test,0.934027777777778,0.5289897467911652,138,6,10,8
19,0.9237132352941176,0.1587275687386007,train,0.9783411408101406,0.8634450932982646,948,7,76,57
19,0.8966789667896679,0.2423567526262404,val,0.8257363253856942,0.2930888871497912,242,6,22,1
19,0.8950617283950617,0.2045869102448592,test,0.9328703703703703,0.5159925761022253,138,6,11,7
20,0.9356617647058824,0.1425608782207264,train,0.9882376097311342,0.9137176421893118,952,3,67,66
20,0.904059040590406,0.2564166617129562,val,0.812061711079944,0.2738860784162545,242,6,20,3
20,0.8950617283950617,0.2015582808741816,test,0.9359567901234568,0.5329370470908138,138,6,11,7
21,0.9494485294117648,0.1349144762053209,train,0.9900956579931504,0.9416371004478956,952,3,52,81
21,0.911439114391144,0.2793749672501619,val,0.8330995792426367,0.2929189742938654,246,2,22,1
