epoch,acc,loss,dset,auc,auprc,tn,fp,fn,tp
1,0.8194444444444444,0.471125538988013,train,0.6230902777777777,0.2324464272365259,234,6,46,2
1,0.8194444444444444,0.4547430665956603,val,0.7848761408083442,0.5845206223190309,59,0,13,0
1,0.8888888888888888,0.3928332545875031,test,0.8996913580246912,0.4128435795292226,144,0,18,0
2,0.8298611111111112,0.4252623986912012,train,0.6852430555555555,0.2787789693433862,237,3,46,2
2,0.8194444444444444,0.4326207184543212,val,0.8552803129074316,0.6168451918451918,59,0,13,0
2,0.8888888888888888,0.3884769822528333,test,0.910108024691358,0.4385529391278329,144,0,18,0
3,0.8402777777777778,0.3900076386457335,train,0.761892361111111,0.474405215907941,239,1,45,3
3,0.8194444444444444,0.4050657134503126,val,0.8748370273794003,0.6437110932654901,59,0,13,0
3,0.8888888888888888,0.3648616994880599,test,0.90625,0.4259879809716574,143,1,17,1
4,0.8576388888888888,0.3479229610869273,train,0.8251736111111111,0.5061159756568034,235,5,36,12
4,0.8194444444444444,0.3790126315111087,val,0.8904823989569752,0.5794505671163496,59,0,13,0
4,0.8888888888888888,0.2929322156871174,test,0.9070216049382716,0.4679324405127341,144,0,18,0
5,0.8645833333333334,0.3086262085872072,train,0.8730902777777778,0.6346642358971804,233,7,32,16
5,0.8333333333333334,0.3484970378792948,val,0.8970013037809649,0.6488680791824808,56,3,9,4
5,0.845679012345679,0.3264882807608372,test,0.8966049382716049,0.4454358122426355,128,16,9,9
6,0.9027777777777778,0.283249735384844,train,0.8873263888888888,0.6862858839158918,233,7,21,27
6,0.8333333333333334,0.3186843096692529,val,0.9165580182529336,0.6544734411637245,55,4,8,5
6,0.845679012345679,0.3190429003587292,test,0.9008487654320988,0.4001203288683624,127,17,8,10
7,0.8993055555555556,0.241634536336379,train,0.9202256944444444,0.7754403462134085,231,9,20,28
7,0.8472222222222222,0.3345131307271206,val,0.8983050847457626,0.662425398525716,58,1,10,3
7,0.8580246913580247,0.2532705057147936,test,0.908179012345679,0.4915438284490151,131,13,10,8
8,0.9340277777777778,0.2326907309174607,train,0.9213541666666666,0.7829104239413327,232,8,11,37
8,0.8333333333333334,0.3135263894736353,val,0.9048239895697524,0.6811125407100638,55,4,8,5
8,0.8580246913580247,0.2713579314783859,test,0.912037037037037,0.4994157286849826,128,16,7,11
9,0.9201388888888888,0.2016256982634495,train,0.9483506944444444,0.8239189972584106,232,8,15,33
